feature_set_file,feature_column,feature_type,param_config,n_dimensions,task,ari,silhouette_score,calinski_harabasz_score,inertia
params/feature_set_4.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8712,H1,0.9543509497166094,0.1175955555111503,516.490113834293,838115.6086878473
params/feature_set_4.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1267,H1,0.9543509497166094,0.1238336428050302,547.54556846373,790578.1504319692
params/feature_set_4.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8776,H1,0.9543509497166094,0.1178734604899121,518.0669611524474,840084.1628904932
params/feature_set_4.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1268,H1,0.9543509497166094,0.1241267207115207,549.2341642945734,792410.6641160294
params/feature_set_6.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1176,H1,0.9533258667517572,0.1056480656917342,451.2750931863359,1236677.9931127238
params/feature_set_6.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1177,H1,0.9533258667517572,0.105851680525899,452.3642507531444,1238562.7575081834
params/feature_set_6.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",16226,H1,0.9512773406353467,0.1013772447649598,431.9205411031649,1311367.6750701172
params/feature_set_6.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",16200,H1,0.9502539058689848,0.1002411733622529,426.2077885391133,1309417.676010046
params/feature_set_8.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",21664,H1,0.9502539058689848,0.0932152303337287,392.7469919062656,1542290.0900597705
params/feature_set_8.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1457,H1,0.9502539058689848,0.098291608606354,415.6641191001891,1457254.3396744228
