feature_set_file,feature_column,feature_type,param_config,n_dimensions,task,n_clusters_found,n_noise_points,ari,silhouette_score,calinski_harabasz_score
params/feature_set_2.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4130,H2-HDBSCAN,75,2161,0.8883417634223542,0.16514668180733597,318.64247061190287
params/feature_set_2.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",705,H2-HDBSCAN,68,1350,0.882541098151516,0.15932413776197177,374.77271547726804
params/feature_set_3.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",65,H2-HDBSCAN,34,75,0.8605629610094351,0.24842016436821207,1580.9815220551643
params/feature_set_3.joblib,hsv_features,PCA,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",61,H2-HDBSCAN,74,780,0.8451516247982026,0.21571199595928192,839.56640625
params/feature_set_3.joblib,hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",288,H2-HDBSCAN,77,1379,0.8371130122681568,0.2050691694021225,706.7410278320312
params/feature_set_2.joblib,hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",719,H2-HDBSCAN,92,2061,0.8348518144139787,0.18026956915855408,290.6969909667969
params/feature_set_3.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",306,H2-HDBSCAN,32,417,0.8346648222547435,0.2304614662609372,1409.4826789135202
params/feature_set_2.joblib,hsv_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4096,H2-HDBSCAN,108,3364,0.8197526356218547,0.17879265546798706,227.408447265625
params/feature_set_1.joblib,hsv_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",512,H2-HDBSCAN,84,1427,0.8101545855536165,0.1993749737739563,518.6589965820312
params/feature_set_1.joblib,hsv_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",108,H2-HDBSCAN,72,730,0.8049937990047478,0.1948166787624359,674.3726196289062
params/feature_set_1.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",112,H2-HDBSCAN,61,526,0.7987990505590307,0.17871562143108777,711.6277212127271
params/feature_set_1.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",538,H2-HDBSCAN,72,948,0.7981249281835372,0.16733931174987446,542.0107543191328
