feature_set_file,feature_column,feature_type,task,k,silhouette_score,calinski_harabasz_score,inertia
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,2,0.17408260703086853,2668.525146484375,42002.00390625
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,4,0.14452719688415527,2385.672119140625,34413.734375
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,6,0.18697600066661835,2335.9599609375,29112.734375
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,8,0.1975957304239273,2140.6240234375,26166.73828125
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,10,0.20699653029441833,1972.8175048828125,24119.47265625
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,12,0.2114965319633484,1899.0574951171875,22158.248046875
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,14,0.2231818288564682,1834.7296142578125,20576.71875
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,16,0.24246560037136078,1844.317626953125,18844.97265625
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,18,0.24154779314994812,1787.2135009765625,17777.984375
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,20,0.2456119805574417,1726.0390625,16927.0703125
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,22,0.25656768679618835,1674.683837890625,16165.49609375
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,24,0.2527919113636017,1623.236083984375,15527.7197265625
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,26,0.25846266746520996,1553.587646484375,15112.9169921875
params/feature_set_1.joblib,hsv_features,Original,H2-KMeans-Elbow,28,0.26218974590301514,1513.2423095703125,14590.6875
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,2,0.18136747181415558,2829.64453125,39609.515625
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,4,0.15999670326709747,2581.4873046875,31954.8046875
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,6,0.20545607805252075,2517.406005859375,26842.451171875
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,8,0.21635037660598755,2384.8642578125,23634.65625
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,10,0.2007278949022293,2195.28515625,21699.59375
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,12,0.22067046165466309,2118.15478515625,19822.818359375
